Keyword,Monthly searches,Number of listings,Searches:listings
pillow shams,977,84300,0.01158956109
tablet case,964,93100,0.01035445757
trucker cap,958,307200,0.003118489583
frisbee,944,3600,0.2622222222
vision board book,900,11900,0.0756302521
dog mat,870,37700,0.02307692308
gold disc necklace,823,29800,0.02761744966
pin buttons,823,402800,0.002043197617
shirt dress,790,185400,0.004261057174
bean bag cover,772,3400,0.2270588235
sports bra,747,12400,0.06024193548
car sun shade,700,5000,0.14
hoodie dress,680,71000,0.009577464789
wireless charging station,679,6400,0.10609375
sleeping bag,678,26100,0.02597701149
baby shirt,656,822000,0.000798053528
cooler bag,634,7600,0.08342105263
work jacket,563,37500,0.01501333333
cat mat,540,29400,0.01836734694
boxer briefs,507,8800,0.05761363636
polyester fabric,495,393700,0.001257302515
skater dress,484,40000,0.0121
briefs,483,20700,0.02333333333
lounge pants,479,48400,0.009896694215
basketball shorts,474,4200,0.1128571429
plunge v neck tee,456,783,0.5823754789
skater skirt,433,73700,0.005875169607
chest bag,427,110500,0.003864253394
custom shaped pillow,420,94400,0.004449152542
plunge racerback tank,411,648,0.6342592593
clear tote bag,395,7600,0.05197368421
gym shorts,349,18400,0.0189673913
denim hat,333,30800,0.01081168831
t shirt dress,333,83600,0.003983253589
pet mat,323,62900,0.005135135135
vinyl banner,276,178800,0.001543624161
plus size leggings,266,14400,0.01847222222
woven pillow,255,89300,0.002855543113
v neck shirt,236,150800,0.001564986737
phone skins,209,42200,0.004952606635
visor hat,202,39200,0.005153061224
stainless steel flask,199,225800,0.0008813108946
ping pong balls,196,1100,0.1781818182
swim shorts,188,16400,0.01146341463
fleece sweatshirt,184,175200,0.001050228311
wireless earbuds,180,7200,0.025
hard phone case,176,397700,0.0004425446316
bamboo serving tray,175,12600,0.01388888889
biker shorts,173,7100,0.02436619718
rally towel,155,3000,0.05166666667
mixing glass,154,55000,0.0028
happy birthday lawn signs,130,71000,0.001830985915
sports hoodie,128,515200,0.000248447205
photo light cube,105,1300,0.08076923077
beach shorts,78,19500,0.004
workout shorts,76,21300,0.003568075117
capri leggings,74,17900,0.004134078212
eco friendly socks,66,20200,0.003267326733
toilet set,41,9200,0.004456521739
baby changing pad cover,40,5700,0.00701754386
womens briefs,39,12000,0.00325
racerback dress,38,4800,0.007916666667
jogging bottoms women,30,2200,0.01363636364
hooded fleece blanket,30,4000,0.0075
jogging bottoms,26,3300,0.007878787879
party flags,17,360700,0.00004713057943
booney hat,16,1600,0.01
jogging shorts men,10,1900,0.005263157895
gallery board with stand,7,1400,0.005
jogger shorts,4,4700,0.0008510638298
phone sanitizer,0,0,0
pizza board,0,0,0
